,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition
10,11,Ti-15Nb-3.0Fe,Ti0.8895Fe0.028Nb0.0825,9,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1700.00,,94.00,3.00,695.00,40.00,,,-50.00,,362.00,3.00,12.90,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Deformation is higher than > 40 (no fracture) and cannot be determined. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests. Sample with no apparent fracture in compression - assumed deformation of -50%.,Ti0.8895 Fe0.028 Nb0.0825
11,12,Ti-11Nb-3.5Fe,Ti0.9063Fe0.0335Nb0.0602,9,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1800.00,,97.00,1.00,715.00,44.00,,,-50.00,,382.00,3.00,13.75,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Deformation is higher than > 40 (no fracture) and cannot be determined. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests. Sample with no apparent fracture in compression - assumed deformation of -50%.,Ti0.9063 Fe0.0335 Nb0.0602
12,13,Ti-30Nb,Ti0.8184Nb0.1816,10,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1100.00,350.00,79.00,4.00,348.00,17.00,,,28.50,2.60,202.00,4.00,8.43,near,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.8184 Nb0.1816
13,14,Ti-30Nb-1Fe,Ti0.8063Fe0.0111Nb0.1826,10,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1700.00,350.00,79.00,4.00,606.00,14.00,,,17.30,2.10,284.00,9.00,11.66,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.8063 Fe0.0111 Nb0.1826
14,15,Ti-30Nb-3Fe,Ti0.7912Fe0.0292Nb0.1796,10,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1200.00,350.00,78.00,4.00,625.00,12.00,,,19.00,0.70,255.00,6.00,16.73,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.7912 Fe0.0292 Nb0.1796
15,16,Ti-30Nb-5Fe,Ti0.7719Fe0.0514Nb0.1768,10,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1500.00,350.00,79.00,4.00,629.00,15.00,,,16.60,0.70,246.00,6.00,22.98,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.7719 Fe0.0514 Nb0.1768
16,17,Ti-12Nb-5Fe,Ti0.889Fe0.0414Nb0.0696,11,10.1016/j.actbio.2015.12.010,biesiekierski2016,0,0,0,,140.00,90.00,20.00,740.00,20.00,,,-42.00,0.00,293.00,6.00,16.59,meta,Ti-beta,,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.889 Fe0.0414 Nb0.0696
17,18,Ti-7Ta-4Fe,Ti0.9464Fe0.0328Ta0.0208,11,10.1016/j.actbio.2015.12.010,biesiekierski2016,0,0,0,,140.00,110.00,10.00,1250.00,40.00,,,-7.00,1.00,430.00,10.00,12.06,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.9464 Fe0.0328 Ta0.0208
18,19,Ti-10Ta-4Fe,Ti0.9382Fe0.0343Ta0.0275,11,10.1016/j.actbio.2015.12.010,biesiekierski2016,0,0,0,,140.00,121.00,2.00,1360.00,20.00,,,-14.00,4.00,410.00,10.00,12.84,meta,Ti-beta,Ti-omega,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.9382 Fe0.0343 Ta0.0275
19,20,Ti-13Mo-6Sn,Ti0.8984Mo0.0724Sn0.0292,12,10.1016/j.msea.2019.138190,mello2019,1,0,0,2100.00,,66.00,4.00,650.00,18.00,,,12.00,2.00,314.00,10.00,13.00,meta,Ti-beta,,,ST-WQ,Grain size not reported. ,Ti0.8984 Mo0.0724 Sn0.0292
20,21,Ti-9Mo,Ti0.9535Mo0.0465,13,10.1016/j.matchar.2015.10.005,mello2015,1,1,0,1700.00,,91.00,3.00,537.00,11.00,,,22.00,4.00,350.00,9.00,8.90,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9535 Mo0.0465
21,22,Ti-9Mo-1.5Sn,Ti0.9436Mo0.0487Sn0.0077,13,10.1016/j.matchar.2015.10.005,mello2015,1,1,0,1600.00,,89.00,2.00,511.00,16.00,,,18.00,3.00,312.00,5.00,9.21,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9436 Mo0.0487 Sn0.0077
22,23,Ti-9Mo-6Sn,Ti0.9241Mo0.0473Sn0.0286,13,10.1016/j.matchar.2015.10.005,mello2015,1,1,0,1700.00,,78.00,2.00,441.00,57.00,,,16.00,1.00,271.00,5.00,8.70,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9241 Mo0.0473 Sn0.0286
23,24,Ti-25Zr-24Nb,Ti0.5723Zr0.1831Nb0.2445,14,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300.00,62.00,3.60,810.00,48.00,,,14.80,1.60,241.30,,9.52,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5723 Zr0.1831 Nb0.2445
24,25,Ti-32Zr-30Nb,Ti0.5409Zr0.239Nb0.22,14,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300.00,65.00,4.20,782.00,18.80,,,13.00,1.80,244.40,,8.40,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5409 Zr0.239 Nb0.22
25,26,Ti-35Zr-28Nb,Ti0.5259Zr0.2669Nb0.2073,14,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300.00,64.00,4.50,729.00,26.30,,,11.30,1.50,244.00,,7.84,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5259 Zr0.2669 Nb0.2073
26,27,Ti-41Zr-25Nb,Ti0.5027Zr0.3112Nb0.1862,14,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300.00,63.00,4.20,682.00,49.50,,,9.90,1.10,235.60,,6.94,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5027 Zr0.3112 Nb0.1862
27,28,Ti-13Nb-13Zr,Ti0.8416Zr0.0792Nb0.0792,15,10.1016/j.jmbbm.2011.03.023,majumdar2011,1,0,0,1200.00,,66.00,1.20,501.00,23.00,,,20.30,2.60,220.00,5.00,3.75,rich,Ti-beta,Ti-alpha-dp,,ST-WQ,Deformation and ST at 800 deg C followed by WQ (Figure 10a). Mechanical properties from tensile tests.  ,Ti0.8416 Zr0.0792 Nb0.0792
28,29,Ti-28Nb-13Zr-0.5Fe,Ti0.7236Fe0.0057Zr0.0868Nb0.1839,16,10.1016/j.msea.2009.08.057,cui2009,1,1,0,1100.00,100.00,58.00,,780.00,,,,13.00,,,,9.52,near,Ti-beta,Ti-alpha-dp,,ST-WQ,"Average grain size from the text in section 3. Cylindrical specimens gauge diameter of 5 mm, length 25 mm.",Ti0.7236 Fe0.0057 Zr0.0868 Nb0.1839
29,30,Ti-19Nb-10Zr-1Fe,Ti0.8142Fe0.01Zr0.116Nb0.0599,17,10.1016/j.msec.2015.02.004,xue2015,0,1,1,,0.50,59.00,,553.00,,723.00,,25.00,,,,5.71,near,Ti-beta,Ti-omega,,ST-WQ,Real composition not reported.  ST at 600 deg C for 5 min (which might be below beta-transus) after cold-rolling with a reduction of 75% in thickness.,Ti0.8142 Fe0.01 Zr0.116 Nb0.0599
30,31,Ti-32Nb-6Zr-1.5Fe,Ti0.7448Fe0.0147Zr0.04Nb0.2004,18,10.1007/s12613-017-1477-3,nocivin2017,1,0,0,1600.00,50.00,62.00,,1038.00,,1083.00,,9.00,,218.00,6.00,12.93,meta,Ti-beta,,,ST-WQ,"Sample P4, recrystallization at 800 deg C followed by WQ.",Ti0.7448 Fe0.0147 Zr0.04 Nb0.2004
31,32,Ti-32Nb-2Sn,Ti0.7924Nb0.1979Sn0.0097,19,10.1016/j.matdes.2017.04.014,bahl2017,0,1,0,,100.00,60.00,2.00,665.00,25.00,,,32.00,2.00,260.00,10.00,8.96,near,Ti-beta,,,ST-WQ,Real composition not reported. Grain size estimated from Figure 1. ,Ti0.7924 Nb0.1979 Sn0.0097
32,33,Ti-38Ta-22Zr-8Nb,Ti0.5501Zr0.2009Nb0.0726Ta0.1764,20,10.1016/j.jmbbm.2017.07.011,ozan2017,0,1,0,,250.00,73.00,4.00,1107.00,145.00,,,0.00,,365.00,3.00,10.69,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size from Figure 1. Number of specimens tested not reported. Plastic deformation tends to 0 in tensile tests. ,Ti0.5501 Zr0.2009 Nb0.0726 Ta0.1764
33,34,Ti-39Ta-25Zr-5Nb,Ti0.5448Zr0.2298Nb0.0451Ta0.1803,20,10.1016/j.jmbbm.2017.07.011,ozan2017,0,1,0,,250.00,75.00,2.00,932.00,195.00,,,0.00,,422.00,10.00,9.96,near,Ti-beta,Ti-omega,,ST-WQ,Average grain size from Figure 1. Number of specimens tested not reported. Plastic deformation tends to 0 in tensile tests. ,Ti0.5448 Zr0.2298 Nb0.0451 Ta0.1803
34,35,Ti-39Ta-28Zr-2.5Nb,Ti0.5316Zr0.2604Nb0.0228Ta0.1852,20,10.1016/j.jmbbm.2017.07.011,ozan2017,0,1,0,,250.00,77.00,2.00,953.00,121.00,,,0.00,,433.00,8.00,9.39,near,Ti-beta,Ti-omega,,ST-WQ,Average grain size from Figure 1. Number of specimens tested not reported. Plastic deformation tends to 0 in tensile tests. ,Ti0.5316 Zr0.2604 Nb0.0228 Ta0.1852
35,36,Ti-5Mo-5Fe,Ti0.9361Fe0.0398Mo0.0242,21,10.1016/j.matdes.2016.02.110,abd-elrhman2016,0,0,0,,300.00,83.00,3.00,936.00,,,,,,452.00,,17.76,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,Solution treated at 900 deg C followed by WQ (ST900). Average grain size from Figure 5. Yield strength approx. from Fig. 6. Hardness taken from Fig. 7. No TEM image from ST900 condition. ,Ti0.9361 Fe0.0398 Mo0.0242
36,37,Ti-26Nb-12Zr-8Mo,Ti0.6951Zr0.0811Nb0.1724Mo0.0514,22,10.1179/1743284712Y.0000000128,golosova2013,0,0,0,,9.00,66.60,1.40,754.70,7.00,759.00,,8.50,1.20,,,15.28,meta,Ti-beta,,,ST-WQ,Hardness not reported. No TEM analysis. Oxygen content not reported. Average grain-size of 9 um. ,Ti0.6951 Zr0.0811 Nb0.1724 Mo0.0514
37,38,Ti-30Nb-4Sn-1Mo,Ti0.7872Nb0.1872Mo0.006Sn0.0195,23,10.1016/j.pnsc.2015.09.008,guo2015,0,1,1,,,46.00,,130.00,,380.00,,,,,,9.39,near,Ti-beta,Ti-alpha-dp,,ST-WQ,Cold rolled plate annealed at 800 deg C for 1 h then quenched into water (ST specimens). TEM image of such samples are in Fig. 3. UTS extrapolated from Figure 6. ,Ti0.7872 Nb0.1872 Mo0.006 Sn0.0195
38,39,Ti-29Nb-13Ta-4.6Zr,Ti0.7197Zr0.0325Nb0.2014Ta0.0464,24,10.1016/S0142-9612(03)00069-3,niinomi2003,0,1,0,,20.00,65.00,,600.00,,650.00,,25.00,,175.00,,10.98,meta,Ti-beta,,,ST-WQ,"ST at 790 deg C for 1 h, sample ""As-ST"".  ",Ti0.7197 Zr0.0325 Nb0.2014 Ta0.0464
39,40,Ti-18Nb-9Zr-6Sn-5Mo,Ti0.7638Zr0.0591Nb0.118Mo0.0296Sn0.0295,25,10.1016/j.msea.2017.01.047,jiang2017,0,1,0,,,72.00,,499.00,,519.00,,6.40,,,,9.97,near,Ti-beta,Ti-alpha-dp,,As-cast,"Copper-mold suction-cast, 10g samples. Alloy #2 from the study. Hardness not reported. Errors bars not reported. ",Ti0.7638 Zr0.0591 Nb0.118 Mo0.0296 Sn0.0295
40,41,Ti-14Nb-9Zr-6Sn-5Mo,Ti0.7936Zr0.059Nb0.0885Mo0.0296Sn0.0293,25,10.1016/j.msea.2017.01.047,jiang2017,0,1,0,,,56.00,,566.00,,701.00,,13.60,,,,8.88,near,Ti-beta,Ti-alpha-dp,,As-cast,"Copper-mold suction-cast, 10g samples. Alloy #3 from the study. Hardness not reported. Errors bars not reported. ",Ti0.7936 Zr0.059 Nb0.0885 Mo0.0296 Sn0.0293
41,42,Ti-15Nb-6Sn-5Zr-5Mo,Ti0.8122Zr0.0313Nb0.0935Mo0.0316Sn0.0313,25,10.1016/j.msea.2017.01.047,jiang2017,0,1,0,,,55.00,,533.00,,692.00,,14.20,,,,9.56,near,Ti-beta,Ti-alpha-dp,,As-cast,"Copper-mold suction-cast, 10g samples. Alloy #7 from the study. Hardness not reported. Errors bars not reported. ",Ti0.8122 Zr0.0313 Nb0.0935 Mo0.0316 Sn0.0313
42,43,Ti-32Nb-7Zr-3Sn-0.3O,Ti0.7305Zr0.0449Nb0.2109Sn0.0137,26,10.1016/j.msea.2017.02.045,lan2017,1,0,0,3000.00,175.00,66.90,,806.00,,829.00,,15.40,,282.00,,9.10,near,Ti-beta,,,ST-WQ,Grain size in the range of 150-200 um (Section 3.1). Hardness extracted from Fig. 7 (reduction = 0).,Ti0.7305 Zr0.0449 Nb0.2109 Sn0.0137
43,44,Ti-25Nb-2Mo-4Sn,Ti0.8167Nb0.1524Mo0.0118Sn0.0191,27,10.1007/s11661-012-1324-0,guo2012,0,0,1,,,53.10,,361.00,,511.00,,,,,,9.00,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 750 deg C for 1 h followed by quenching into water. Mechanical properties estimated from Fig. 2. YSIM at approx. 164 MPa.,Ti0.8167 Nb0.1524 Mo0.0118 Sn0.0191
44,45,Ti-12Mo-6Zr-2Fe,Ti0.8806Fe0.0189Zr0.0347Mo0.0659,28,10.1520/F1813-13.2,astmF1813,1,0,0,2000.00,,79.50,,897.00,,931.50,,12.00,,,,17.81,meta,Ti-beta,,,ST-AC ,"Solution annealed, cooling condition not specified (assumed AC). Errors in composition assumed from Table 1. Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004",Ti0.8806 Fe0.0189 Zr0.0347 Mo0.0659
45,46,Ti-6Al-4V,Ti0.862Al0.102V0.036,29,10.1520/F0136-12A.2,astmF0136,1,0,0,1300.00,,110.00,,760.00,,825.00,,8.00,,,,-3.32,other,Ti-beta,Ti-alpha,,ST-AC,"Solution annealed, cooling condition not specified (assumed AC). Mechanical properties from large samples (distance between parallel sides > 44 mm). Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004",Ti0.862 Al0.102 V0.036
46,47,Ti-6Al-7Nb,Ti0.8593Al0.1051Nb0.0356,30,10.1520/F0562-13.2,astmF0562,1,0,0,2000.00,,110.00,,800.00,,900.00,,10.00,,,,-4.04,other,Ti-beta,Ti-alpha,,ST-AC ,"Solution annealed, cooling condition not specified (assumed AC). Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004",Ti0.8593 Al0.1051 Nb0.0356
47,48,Ti-10Ta,Ti0.9714Ta0.0286,31,10.1016/j.msea.2003.12.011,zhou2004,1,0,0,750.00,70.00,100.00,,396.00,,504.00,,21.00,,,,2.20,rich,Ti-alpha-p,,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.9714 Ta0.0286
48,49,Ti-30Ta,Ti0.8982Ta0.1018,31,10.1016/j.msea.2003.12.011,zhou2004,1,0,0,880.00,70.00,69.00,,441.00,,587.00,,21.00,,,,6.60,near,Ti-alpha-dp,,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.8982 Ta0.1018
49,50,Ti-50Ta,Ti0.7908Ta0.2092,31,10.1016/j.msea.2003.12.011,zhou2004,1,0,0,710.00,70.00,88.00,,379.00,,530.00,,25.00,,,,11.00,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.7908 Ta0.2092
50,51,Ti-70Ta,Ti0.6183Ta0.3817,31,10.1016/j.msea.2003.12.011,zhou2004,1,0,0,340.00,70.00,67.00,,373.00,,600.00,,16.00,,,,15.40,meta,Ti-beta,,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.6183 Ta0.3817
51,52,Ti-35Nb-4Sn,Ti0.7564Nb0.2236Sn0.02,32,10.2320/matertrans.46.1070,matsumoto2005,0,0,1,,120.00,55.00,,376.00,,480.00,,29.00,,,,9.80,near,Ti-beta,Ti-alpha-dp,,ST-WQ,Average grain size reported in section 3.2. Mechanical properties from Fig. 12a.,Ti0.7564 Nb0.2236 Sn0.02
52,53,Ti-35Nb-8Sn,Ti0.7291Nb0.2302Sn0.0407,32,10.2320/matertrans.46.1070,matsumoto2005,0,0,1,,120.00,61.00,,444.00,,480.00,,19.00,,,,9.80,near,Ti-beta,,,ST-WQ,Average grain size estimated based on section 3.2. Mechanical properties from Fig. 12a.,Ti0.7291 Nb0.2302 Sn0.0407
53,54,Ti-29Nb-13Ta-4.6Zr,Ti0.7197Zr0.0325Nb0.2014Ta0.0464,33,10.1016/S0921-5093(97)00808-3,kuroda1998,0,0,0,,23.00,55.00,,257.00,,535.00,,41.00,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8.,Ti0.7197 Zr0.0325 Nb0.2014 Ta0.0464
54,55,Ti-16Nb-13Ta-4Mo,Ti0.8305Nb0.1022Mo0.0247Ta0.0426,33,10.1016/S0921-5093(97)00808-3,kuroda1998,0,0,0,,30.00,50.00,,557.00,,641.00,,50.00,,,,11.33,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Elongation reported as 65% (replaced with 50%),Ti0.8305 Nb0.1022 Mo0.0247 Ta0.0426
55,56,Ti-29Nb-13Ta,Ti0.7594Nb0.1956Ta0.045,33,10.1016/S0921-5093(97)00808-3,kuroda1998,0,0,0,,27.00,66.00,,213.00,,572.00,,31.00,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. ,Ti0.7594 Nb0.1956 Ta0.045
56,57,Ti-29Nb-13Ta-4Mo,Ti0.726Nb0.2009Mo0.0268Ta0.0462,33,10.1016/S0921-5093(97)00808-3,kuroda1998,0,0,0,,26.00,53.00,,599.00,,608.00,,17.00,,,,14.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8.,Ti0.726 Nb0.2009 Mo0.0268 Ta0.0462
57,58,Ti-29Nb-13Ta-2Sn,Ti0.7448Nb0.1987Ta0.0457Sn0.0107,33,10.1016/S0921-5093(97)00808-3,kuroda1998,0,0,0,,28.00,48.00,,432.00,,497.00,,25.00,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8.,Ti0.7448 Nb0.1987 Ta0.0457 Sn0.0107
58,59,Ti-29Nb-13Ta-4.6Sn,Ti0.7252Nb0.2029Ta0.0467Sn0.0252,33,10.1016/S0921-5093(97)00808-3,kuroda1998,0,0,0,,27.00,55.00,,367.00,,528.00,,21.00,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. ,Ti0.7252 Nb0.2029 Ta0.0467 Sn0.0252
59,60,Ti-29Nb-13Ta-6Sn,Ti0.7143Nb0.2052Ta0.0472Sn0.0332,33,10.1016/S0921-5093(97)00808-3,kuroda1998,0,0,0,,27.00,69.00,,501.00,,523.00,,18.00,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. ,Ti0.7143 Nb0.2052 Ta0.0472 Sn0.0332
60,61,Ti-11Nb-6Fe,Ti0.8848Fe0.0548Nb0.0604,34,10.1016/j.matdes.2016.02.094,haghighi2016,0,0,0,,,89.00,,1137.00,,,,-36.00,,357.00,,20.47,meta,Ti-beta,Ti-alpha-dp,,As-cast,Elastic modulus from Table 2. Plastic strain from compression tests (36%). ,Ti0.8848 Fe0.0548 Nb0.0604
61,62,Ti-11Nb-9Fe,Ti0.8567Fe0.0826Nb0.0607,34,10.1016/j.matdes.2016.02.094,haghighi2016,0,0,0,,,82.00,,1078.00,,,,-38.00,,334.00,,29.18,meta,Ti-beta,,,As-cast,Elastic modulus from Table 2. Plastic strain from compression tests (36%). ,Ti0.8567 Fe0.0826 Nb0.0607
62,63,Ti-5Al-5Mo-5V-3Cr,Ti0.8062Al0.1014V0.0445Cr0.0224Fe0.0008Mo0.0247,35,10.1016/j.matdes.2014.04.015,shekhar2014,1,0,0,920.00,160.00,115.00,6.00,636.00,20.00,,,13.00,2.00,314.00,16.00,6.67,near,Ti-beta,Ti-omega,,ST-WQ,"Hardness and elastic modulus not reported, data taken from (PT) http://repositorio.unicamp.br/jspui/handle/REPOSIP/263158",Ti0.8062 Al0.1014 V0.0445 Cr0.0224 Fe0.0008 Mo0.0247
63,64,Ti-10Mo,Ti0.9461Mo0.0539,36,10.1016/j.matchar.2011.07.010,zhou2011,1,0,0,1370.00,200.00,93.00,,731.00,,,,47.00,,,,10.25,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size estimated from Fig. 2,Ti0.9461 Mo0.0539
64,65,Ti-20Mo,Ti0.8924Mo0.1076,36,10.1016/j.matchar.2011.07.010,zhou2011,1,0,0,1300.00,180.00,75.00,,823.00,,,,15.00,,,,19.46,meta,Ti-beta,,,ST-WQ,Average grain size estimated from Fig. 2,Ti0.8924 Mo0.1076
65,66,Ti-10Mo,Ti0.9475Mo0.0525,37,10.1016/j.bioactmat.2020.04.012,xu2020,0,0,0,,40.00,77.60,1.30,862.00,,916.00,,14.80,0.30,,,10.00,near,Ti-beta,Ti-alpha,,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9475 Mo0.0525
